iteration,rtt_ms,status,proc_ram_mb,proc_vsz_mb,proc_cpu_pct,sys_ram_pct,sys_cpu_pct
0,0.266,ok,38.098,2391.289,0.0,50.1,0.0
1,0.358,ok,38.098,2391.289,0.0,50.1,0.0
2,0.329,ok,38.098,2391.289,0.0,50.1,0.0
3,0.372,ok,38.098,2391.289,0.0,50.1,0.0
4,0.328,ok,38.098,2391.289,0.0,50.1,0.0
5,0.371,ok,38.098,2391.289,0.0,50.1,0.0
6,0.402,ok,38.098,2391.289,0.0,50.1,0.0
7,0.432,ok,38.098,2391.289,0.0,50.1,0.0
8,0.476,ok,38.098,2391.289,0.0,50.1,0.0
9,0.392,ok,38.098,2391.289,0.0,50.1,0.0
10,0.439,ok,38.098,2391.289,0.0,50.1,0.0
11,0.473,ok,38.098,2391.289,0.0,50.1,0.0
12,0.498,ok,38.098,2391.289,0.0,50.1,0.0
13,0.446,ok,38.098,2391.289,0.0,50.1,0.0
14,0.367,ok,38.098,2391.289,0.0,50.1,0.0
15,0.345,ok,38.098,2391.289,0.0,50.1,0.0
16,0.376,ok,38.098,2391.289,0.0,50.1,0.0
17,0.436,ok,38.098,2391.289,0.0,50.1,0.0
18,0.326,ok,38.098,2391.289,0.0,50.1,0.0
19,0.314,ok,38.098,2391.289,0.0,50.1,0.0
20,0.295,ok,38.098,2391.289,0.0,50.1,0.0
21,0.347,ok,38.098,2391.289,0.0,50.1,0.0
22,0.347,ok,38.098,2391.289,0.0,50.1,0.0
23,0.407,ok,38.098,2391.289,0.0,50.1,0.0
24,0.374,ok,38.098,2391.289,0.0,50.1,0.0
25,0.338,ok,38.098,2391.289,0.0,50.1,0.0
26,0.343,ok,38.098,2391.289,0.0,50.1,0.0
27,0.360,ok,38.098,2391.289,0.0,50.1,0.0
28,0.338,ok,38.098,2391.289,0.0,50.1,0.0
29,0.433,ok,38.098,2391.289,0.0,50.1,0.0
30,0.376,ok,38.098,2391.289,0.0,50.1,0.0
31,0.398,ok,38.098,2391.289,0.0,50.1,0.0
32,0.401,ok,38.098,2391.289,0.0,50.1,0.0
33,0.282,ok,38.098,2391.289,0.0,50.1,0.0
34,0.334,ok,38.098,2391.289,0.0,50.1,0.0
35,0.355,ok,38.098,2391.289,0.0,50.1,0.0
36,0.301,ok,38.098,2391.289,0.0,50.1,0.0
37,0.276,ok,38.098,2391.289,0.0,50.1,0.0
38,0.327,ok,38.098,2391.289,0.0,50.1,0.0
39,0.265,ok,38.098,2391.289,0.0,50.1,0.0
40,0.238,ok,38.098,2391.289,0.0,50.1,0.0
41,0.264,ok,38.098,2391.289,0.0,50.1,0.0
42,0.239,ok,38.098,2391.289,0.0,50.1,0.0
43,0.195,ok,38.098,2391.289,0.0,50.1,0.0
44,0.202,ok,38.098,2391.289,0.0,50.1,0.0
45,0.274,ok,38.098,2391.289,0.0,50.1,0.0
46,0.302,ok,38.098,2391.289,0.0,50.1,0.0
47,0.270,ok,38.098,2391.289,0.0,50.1,0.0
48,0.258,ok,38.098,2391.289,0.0,50.1,0.0
49,0.245,ok,38.098,2391.289,0.0,50.1,0.0
50,0.265,ok,38.098,2391.289,0.0,50.1,0.0
51,0.236,ok,38.098,2391.289,0.0,50.1,0.0
52,0.232,ok,38.098,2391.289,0.0,50.1,0.0
53,0.261,ok,38.098,2391.289,0.0,50.1,0.0
54,0.257,ok,38.098,2391.289,0.0,50.1,0.0
55,0.226,ok,38.098,2391.289,0.0,50.1,0.0
56,0.211,ok,38.098,2391.289,0.0,50.1,0.0
57,0.224,ok,38.098,2391.289,0.0,50.1,0.0
58,0.273,ok,38.098,2391.289,0.0,50.1,0.0
59,0.205,ok,38.098,2391.289,0.0,50.1,0.0
60,0.233,ok,38.098,2391.289,0.0,50.1,0.0
61,0.268,ok,38.098,2391.289,0.0,50.1,0.0
62,0.210,ok,38.098,2391.289,0.0,50.1,0.0
63,0.248,ok,38.098,2391.289,0.0,50.1,0.0
64,0.211,ok,38.098,2391.289,0.0,50.1,0.0
