iteration,rtt_ms,status,proc_ram_mb,proc_vsz_mb,proc_cpu_pct,sys_ram_pct,sys_cpu_pct
0,10.600,ok,31.145,2239.379,0.0,37.8,0.0
1,10.435,ok,31.145,2239.379,0.0,37.8,0.0
2,10.603,ok,31.145,2239.379,0.0,37.8,0.0
3,10.423,ok,31.145,2239.379,0.0,37.8,0.0
4,10.558,ok,31.145,2239.379,0.0,37.8,0.0
5,10.420,ok,31.145,2239.379,0.0,37.8,0.0
6,10.647,ok,31.145,2239.379,0.0,37.8,0.0
7,10.348,ok,31.320,2239.504,0.0,37.8,0.0
8,10.623,ok,31.320,2239.504,0.0,37.8,0.0
9,10.501,ok,31.320,2239.504,0.0,37.8,0.0
10,10.580,ok,31.320,2239.504,0.0,37.8,0.0
11,10.594,ok,31.320,2239.504,0.0,37.8,0.0
12,10.784,ok,31.320,2239.504,0.0,37.8,0.0
13,10.848,ok,31.320,2239.504,0.0,37.8,0.0
14,10.882,ok,31.320,2239.504,0.0,37.8,0.0
15,10.997,ok,31.320,2239.504,0.0,37.8,0.0
16,10.982,ok,31.320,2239.504,0.0,37.8,0.0
17,10.875,ok,31.320,2239.504,0.0,37.8,0.0
18,11.087,ok,31.320,2239.504,0.0,37.8,0.0
19,11.056,ok,31.320,2239.504,0.0,37.8,0.0
20,11.131,ok,31.320,2239.504,0.0,37.8,0.0
21,11.128,ok,31.320,2239.504,0.0,37.8,0.0
22,10.909,ok,31.320,2239.504,0.0,37.8,0.0
23,11.549,ok,31.320,2239.504,0.0,37.8,0.0
24,11.069,ok,31.320,2239.504,0.0,37.8,0.0
25,11.312,ok,31.320,2239.504,0.0,37.8,0.0
26,11.084,ok,31.324,2239.504,0.0,37.8,0.0
27,10.894,ok,31.324,2239.504,0.0,37.8,0.0
28,10.887,ok,31.324,2239.504,0.0,37.8,0.0
29,10.828,ok,31.324,2239.504,0.0,37.8,0.0
30,10.976,ok,31.324,2239.504,0.0,37.8,0.0
31,10.845,ok,31.324,2239.504,0.0,37.8,0.0
32,10.763,ok,31.324,2239.504,0.0,37.8,0.0
