iteration,rtt_ms,status,proc_ram_mb,proc_vsz_mb,proc_cpu_pct,sys_ram_pct,sys_cpu_pct
0,12.437,ok,31.516,2239.375,0.0,39.8,0.0
1,11.943,ok,31.516,2239.375,0.0,39.8,0.0
2,12.095,ok,31.516,2239.375,0.0,39.8,0.0
3,12.279,ok,31.516,2239.375,0.0,39.8,0.0
4,13.071,ok,31.516,2239.375,0.0,39.8,0.0
5,12.818,ok,31.516,2239.375,0.0,39.8,0.0
6,12.645,ok,31.602,2240.188,0.0,39.8,0.0
7,12.737,ok,31.602,2240.188,0.0,39.8,0.0
8,12.372,ok,31.602,2240.188,0.0,39.8,0.0
9,12.884,ok,31.602,2240.188,0.0,39.8,0.0
10,12.406,ok,31.602,2240.188,0.0,39.8,0.0
11,12.299,ok,31.602,2240.188,0.0,39.8,0.0
12,12.329,ok,31.602,2240.188,0.0,39.8,0.0
13,12.027,ok,31.602,2240.188,0.0,39.8,0.0
14,12.066,ok,31.602,2240.188,0.0,39.8,0.0
15,11.520,ok,31.602,2240.188,0.0,39.8,0.0
16,11.703,ok,31.602,2240.188,0.0,39.8,0.0
17,11.908,ok,31.602,2240.188,0.0,39.8,0.0
18,11.914,ok,31.602,2240.188,0.0,39.8,0.0
19,11.912,ok,31.602,2240.188,0.0,39.8,0.0
20,11.540,ok,31.602,2240.188,0.0,39.8,0.0
21,12.063,ok,31.602,2240.188,0.0,39.8,0.0
22,11.810,ok,31.609,2240.188,0.0,39.8,0.0
23,12.144,ok,31.609,2240.188,0.0,39.8,0.0
24,11.674,ok,31.609,2240.188,0.0,39.8,0.0
25,11.675,ok,31.609,2240.188,0.0,39.8,0.0
26,11.674,ok,31.609,2240.188,0.0,39.8,0.0
27,12.005,ok,31.609,2240.188,0.0,39.8,0.0
28,11.390,ok,31.609,2240.188,0.0,39.8,0.0
29,11.831,ok,31.609,2240.188,0.0,39.8,0.0
30,12.044,ok,31.609,2240.188,0.0,39.8,0.0
31,11.842,ok,31.609,2240.188,0.0,39.8,0.0
32,11.588,ok,31.609,2240.188,0.0,39.8,0.0
33,12.304,ok,31.609,2240.188,0.0,39.8,0.0
34,12.222,ok,31.609,2240.188,0.0,39.8,0.0
35,11.288,ok,31.609,2240.188,0.0,39.8,0.0
36,11.834,ok,31.609,2240.188,0.0,39.8,0.0
37,11.787,ok,31.609,2240.188,0.0,39.8,0.0
38,11.500,ok,31.609,2240.188,0.0,39.8,0.0
39,11.596,ok,31.609,2240.188,0.0,39.8,0.0
40,11.691,ok,31.609,2240.188,0.0,39.8,0.0
41,12.104,ok,31.609,2240.188,0.0,39.8,0.0
42,11.937,ok,31.609,2240.188,0.0,39.8,0.0
43,12.335,ok,31.609,2240.188,0.0,39.8,0.0
44,11.839,ok,31.609,2240.188,0.0,39.8,0.0
45,11.349,ok,31.609,2240.188,0.0,39.8,0.0
46,11.509,ok,31.609,2240.188,0.0,39.8,0.0
47,12.023,ok,31.609,2240.188,0.0,39.8,0.0
48,11.454,ok,31.609,2240.188,0.0,39.8,0.0
49,11.735,ok,31.609,2240.188,0.0,39.8,0.0
50,11.826,ok,31.609,2240.188,0.0,39.8,0.0
51,12.241,ok,31.609,2240.188,0.0,39.8,0.0
52,11.293,ok,31.609,2240.188,0.0,39.8,0.0
53,11.741,ok,31.609,2240.188,0.0,39.8,0.0
54,12.068,ok,31.609,2240.188,0.0,39.8,0.0
55,11.495,ok,31.609,2240.188,0.0,39.8,0.0
56,11.788,ok,31.609,2240.188,10.0,39.8,0.0
57,12.665,ok,31.609,2240.188,10.0,39.8,0.0
58,11.800,ok,31.609,2240.188,10.0,39.8,0.0
59,12.101,ok,31.609,2240.188,10.0,39.8,0.0
60,12.136,ok,31.609,2240.188,10.0,39.8,0.0
61,12.182,ok,31.609,2240.188,10.0,39.8,0.0
62,12.258,ok,31.609,2240.188,10.0,39.8,0.0
63,11.711,ok,31.609,2240.188,10.0,39.8,0.0
64,12.122,ok,31.609,2240.188,10.0,39.8,0.0
65,12.254,ok,31.609,2240.188,10.0,39.8,0.0
66,12.221,ok,31.609,2240.188,10.0,39.8,0.0
67,11.744,ok,31.609,2240.188,10.0,39.8,0.0
68,11.981,ok,31.609,2240.188,10.0,39.8,0.0
69,11.908,ok,31.609,2240.188,10.0,39.8,0.0
70,11.448,ok,31.609,2240.188,10.0,39.8,0.0
71,12.163,ok,31.609,2240.188,10.0,39.8,0.0
72,12.340,ok,31.609,2240.188,10.0,39.8,0.0
73,11.987,ok,31.617,2240.188,0.0,39.8,0.0
74,12.268,ok,31.617,2240.188,0.0,39.8,0.0
